tipo,comando
adelante, avanzar 
adelante, continua
adelante, seguir 
adelante, sigue 
adelante, prosigue 
adelante, sigue andando
adelante, puedes continuar
adelante, sigue al frente
adelante, adelante 
atras, atras 
atras,retroceder
atras, regresa
atras, reversa
atras, detras
izquierda, izquierda 
izquierda, giro a la izquierda 
izquierda, zurda 
derecha, derecha
derecha, giro derecha
derecha, diestra
detente, detente
detente, para
detente, frenar
detente, estacionar
detente, aparcar 
detente, parar
detente, quieto
detente, deja de moverte 
detente, parar motor
detente,detener movimiento
adelante, sigue moviendote 
adelante, silla avanza
adelante, sillla sigue 
atras, silla retrocede 
detente, silla detente
izquierda, silla gira a la izquierda
derecha, silla gira a la derecha
detente, silla no sigas
derecha, silla giro a la derecha
